"area_name","area_code","date","new_cases","total_cases"
"Harrow","E09000015",2020-09-20,11,1650
"Havering","E09000016",2020-09-20,18,1385
"Hillingdon","E09000017",2020-09-20,15,1565
"Hounslow","E09000018",2020-09-20,15,1553
"Islington","E09000019",2020-09-20,7,825
"Kensington and Chelsea","E09000020",2020-09-20,6,831
"Kingston upon Thames","E09000021",2020-09-20,5,921
"Lambeth","E09000022",2020-09-20,13,1816
"Lewisham","E09000023",2020-09-20,10,1527
"Merton","E09000024",2020-09-20,4,1124
"Newham","E09000025",2020-09-20,23,1822
"Redbridge","E09000026",2020-09-20,24,1712
"Richmond upon Thames","E09000027",2020-09-20,1,768
"Southwark","E09000028",2020-09-20,15,1864
"Sutton","E09000029",2020-09-20,2,1168
"Tower Hamlets","E09000030",2020-09-20,19,1317
"Waltham Forest","E09000031",2020-09-20,18,1399
"Wandsworth","E09000032",2020-09-20,9,1671
"Westminster","E09000033",2020-09-20,7,1126
"Barking and Dagenham","E09000002",2020-09-21,11,1116
"Barnet","E09000003",2020-09-21,25,2210
"Bexley","E09000004",2020-09-21,16,1316
"Brent","E09000005",2020-09-21,17,2178
"Bromley","E09000006",2020-09-21,13,1832
"Camden","E09000007",2020-09-21,4,993
"Croydon","E09000008",2020-09-21,12,2213
"Ealing","E09000009",2020-09-21,17,2096
"Enfield","E09000010",2020-09-21,15,1654
"Greenwich","E09000011",2020-09-21,9,1225
"Hackney and City of London","E09000012",2020-09-21,21,1418
"Hammersmith and Fulham","E09000013",2020-09-21,5,1074
"Haringey","E09000014",2020-09-21,7,1152
"Harrow","E09000015",2020-09-21,8,1658
"Havering","E09000016",2020-09-21,14,1399
"Hillingdon","E09000017",2020-09-21,15,1580
"Hounslow","E09000018",2020-09-21,8,1561
"Islington","E09000019",2020-09-21,14,839
"Kensington and Chelsea","E09000020",2020-09-21,6,837
"Kingston upon Thames","E09000021",2020-09-21,5,926
"Lambeth","E09000022",2020-09-21,24,1840
"Lewisham","E09000023",2020-09-21,11,1538
"Merton","E09000024",2020-09-21,1,1125
"Newham","E09000025",2020-09-21,28,1850
"Redbridge","E09000026",2020-09-21,19,1731
"Richmond upon Thames","E09000027",2020-09-21,7,775
"Southwark","E09000028",2020-09-21,19,1883
"Sutton","E09000029",2020-09-21,8,1176
"Tower Hamlets","E09000030",2020-09-21,28,1345
"Waltham Forest","E09000031",2020-09-21,18,1417
"Wandsworth","E09000032",2020-09-21,18,1689
"Westminster","E09000033",2020-09-21,5,1131
"Barking and Dagenham","E09000002",2020-09-22,24,1140
"Barnet","E09000003",2020-09-22,13,2223
"Bexley","E09000004",2020-09-22,13,1329
"Brent","E09000005",2020-09-22,23,2201
"Bromley","E09000006",2020-09-22,9,1841
"Camden","E09000007",2020-09-22,11,1004
"Croydon","E09000008",2020-09-22,12,2225
"Ealing","E09000009",2020-09-22,28,2124
"Enfield","E09000010",2020-09-22,17,1671
"Greenwich","E09000011",2020-09-22,18,1243
"Hackney and City of London","E09000012",2020-09-22,13,1431
"Hammersmith and Fulham","E09000013",2020-09-22,12,1086
"Haringey","E09000014",2020-09-22,12,1164
"Harrow","E09000015",2020-09-22,20,1678
"Havering","E09000016",2020-09-22,18,1417
"Hillingdon","E09000017",2020-09-22,26,1606
"Hounslow","E09000018",2020-09-22,20,1581
"Islington","E09000019",2020-09-22,14,853
"Kensington and Chelsea","E09000020",2020-09-22,5,842
"Kingston upon Thames","E09000021",2020-09-22,5,931
"Lambeth","E09000022",2020-09-22,18,1858
"Lewisham","E09000023",2020-09-22,8,1546
"Merton","E09000024",2020-09-22,7,1132
"Newham","E09000025",2020-09-22,19,1869
"Redbridge","E09000026",2020-09-22,26,1757
"Richmond upon Thames","E09000027",2020-09-22,7,782
"Southwark","E09000028",2020-09-22,22,1905
"Sutton","E09000029",2020-09-22,13,1189
"Tower Hamlets","E09000030",2020-09-22,34,1379
"Waltham Forest","E09000031",2020-09-22,19,1436
"Wandsworth","E09000032",2020-09-22,18,1707
"Westminster","E09000033",2020-09-22,16,1147
"Barking and Dagenham","E09000002",2020-09-23,30,1170
"Barnet","E09000003",2020-09-23,24,2247
"Bexley","E09000004",2020-09-23,12,1341
"Brent","E09000005",2020-09-23,32,2233
"Bromley","E09000006",2020-09-23,21,1862
"Camden","E09000007",2020-09-23,15,1019
"Croydon","E09000008",2020-09-23,13,2238
"Ealing","E09000009",2020-09-23,25,2149
"Enfield","E09000010",2020-09-23,19,1690
"Greenwich","E09000011",2020-09-23,19,1262
"Hackney and City of London","E09000012",2020-09-23,25,1456
"Hammersmith and Fulham","E09000013",2020-09-23,15,1101
"Haringey","E09000014",2020-09-23,13,1177
"Harrow","E09000015",2020-09-23,17,1695
"Havering","E09000016",2020-09-23,39,1456
"Hillingdon","E09000017",2020-09-23,45,1651
"Hounslow","E09000018",2020-09-23,34,1615
"Islington","E09000019",2020-09-23,14,867
"Kensington and Chelsea","E09000020",2020-09-23,12,854
"Kingston upon Thames","E09000021",2020-09-23,5,936
"Lambeth","E09000022",2020-09-23,19,1877
"Lewisham","E09000023",2020-09-23,17,1563
"Merton","E09000024",2020-09-23,11,1143
"Newham","E09000025",2020-09-23,34,1903
"Redbridge","E09000026",2020-09-23,34,1791
"Richmond upon Thames","E09000027",2020-09-23,8,790
"Southwark","E09000028",2020-09-23,29,1934
"Sutton","E09000029",2020-09-23,4,1193
"Tower Hamlets","E09000030",2020-09-23,23,1402
"Waltham Forest","E09000031",2020-09-23,21,1457
"Wandsworth","E09000032",2020-09-23,16,1723
"Westminster","E09000033",2020-09-23,12,1159
"Barking and Dagenham","E09000002",2020-09-24,15,1185
"Barnet","E09000003",2020-09-24,26,2273
"Bexley","E09000004",2020-09-24,10,1351
"Brent","E09000005",2020-09-24,32,2265
"Bromley","E09000006",2020-09-24,10,1872
"Camden","E09000007",2020-09-24,10,1029
"Croydon","E09000008",2020-09-24,21,2259
"Ealing","E09000009",2020-09-24,20,2169
"Enfield","E09000010",2020-09-24,21,1711
"Greenwich","E09000011",2020-09-24,20,1282
"Hackney and City of London","E09000012",2020-09-24,32,1488
"Hammersmith and Fulham","E09000013",2020-09-24,18,1119
"Haringey","E09000014",2020-09-24,12,1189
"Harrow","E09000015",2020-09-24,21,1716
"Havering","E09000016",2020-09-24,19,1475
"Hillingdon","E09000017",2020-09-24,21,1672
"Hounslow","E09000018",2020-09-24,15,1630
"Islington","E09000019",2020-09-24,13,880
"Kensington and Chelsea","E09000020",2020-09-24,7,861
"Kingston upon Thames","E09000021",2020-09-24,11,947
"Lambeth","E09000022",2020-09-24,18,1895
"Lewisham","E09000023",2020-09-24,17,1580
"Merton","E09000024",2020-09-24,9,1152
"Newham","E09000025",2020-09-24,35,1938
"Redbridge","E09000026",2020-09-24,56,1847
"Richmond upon Thames","E09000027",2020-09-24,13,803
"Southwark","E09000028",2020-09-24,17,1951
"Sutton","E09000029",2020-09-24,3,1196
"Tower Hamlets","E09000030",2020-09-24,31,1433
"Waltham Forest","E09000031",2020-09-24,16,1473
"Wandsworth","E09000032",2020-09-24,19,1742
"Westminster","E09000033",2020-09-24,11,1170
"Barking and Dagenham","E09000002",2020-09-25,25,1210
"Barnet","E09000003",2020-09-25,24,2297
"Bexley","E09000004",2020-09-25,3,1354
"Brent","E09000005",2020-09-25,23,2288
"Bromley","E09000006",2020-09-25,11,1883
"Camden","E09000007",2020-09-25,10,1039
"Croydon","E09000008",2020-09-25,23,2282
"Ealing","E09000009",2020-09-25,30,2199
"Enfield","E09000010",2020-09-25,24,1735
"Greenwich","E09000011",2020-09-25,15,1297
"Hackney and City of London","E09000012",2020-09-25,30,1518
"Hammersmith and Fulham","E09000013",2020-09-25,11,1130
"Haringey","E09000014",2020-09-25,18,1207
"Harrow","E09000015",2020-09-25,12,1728
"Havering","E09000016",2020-09-25,19,1494
"Hillingdon","E09000017",2020-09-25,28,1700
"Hounslow","E09000018",2020-09-25,31,1661
"Islington","E09000019",2020-09-25,17,897
"Kensington and Chelsea","E09000020",2020-09-25,4,865
"Kingston upon Thames","E09000021",2020-09-25,6,953
"Lambeth","E09000022",2020-09-25,19,1914
"Lewisham","E09000023",2020-09-25,19,1599
"Merton","E09000024",2020-09-25,7,1159
